,census_tract,total_pop,not_impoverished_percap,impoverished_percap
634,213310,4059,2419,0.40404040404040403
635,213320,3483,2029,0.4174562159058283
636,213401,5306,3204,0.39615529589144366
637,213402,4795,2899,0.3954118873826903
638,214000,788,476,0.39593908629441626
639,214100,746,453,0.39276139410187666
640,214400,1104,659,0.40307971014492755
641,214501,2152,1287,0.40195167286245354
642,214501,0,0,
643,214502,5812,3449,0.4065726083964212
644,214503,1191,721,0.39462636439966414
645,214600,721,438,0.3925104022191401
646,214700,493,304,0.38336713995943206
647,214800,489,292,0.40286298568507156
648,214901,1393,834,0.4012921751615219
649,214902,1050,622,0.4076190476190476
650,215101,768,473,0.3841145833333333
651,215102,1743,1042,0.40218014916810096
652,216100,718,432,0.3983286908077994
653,216200,2449,1456,0.40547162106982443
654,216300,1733,1032,0.4045008655510675
655,216401,2212,1314,0.40596745027124775
656,216402,1680,992,0.4095238095238095
657,216700,1589,946,0.4046570169918188
658,216800,1701,1018,0.40152851263962375
659,216900,1513,898,0.4064771976206213
660,217001,902,538,0.4035476718403548
661,217002,1894,1139,0.3986272439281943
662,217100,4410,2630,0.4036281179138322
663,217200,3413,2029,0.4055083504248462
664,218110,3622,2165,0.402263942573164
665,218120,7311,4146,0.4329093147312269
666,218210,7070,3880,0.4512022630834512
667,218220,4563,2703,0.4076265614727153
668,218300,5432,3223,0.4066642120765832
669,218400,4905,2935,0.4016309887869521
670,218500,3158,1870,0.4078530715642812
671,218600,4658,2653,0.4304422498926578
672,218701,1637,975,0.4043982895540623
673,218702,2760,1617,0.4141304347826087
674,218800,3190,1888,0.40815047021943573
675,218900,7137,4158,0.41740226986128626
676,219010,4499,2562,0.4305401200266726
677,219020,4701,2813,0.40161667730270156
678,219300,5020,2923,0.4177290836653386
679,219500,787,469,0.4040660736975858
680,219700,3544,2120,0.4018058690744921
681,219800,2713,1638,0.3962403243641725
682,219901,7520,4388,0.41648936170212764
683,219902,2952,1774,0.3990514905149051
684,220000,5538,3280,0.40772842181292884
685,220100,2597,1510,0.41855987678090106
686,221110,5003,2928,0.41475114931041374
687,221120,3680,2205,0.4008152173913043
688,221210,3483,2081,0.40252655756531724
689,221220,3954,2366,0.4016186140617097
690,221302,5725,3336,0.41729257641921397
691,221303,3790,2169,0.4277044854881267
692,221304,4075,2386,0.414478527607362
693,221401,3124,1814,0.4193341869398207
694,221402,3266,1883,0.42345376607470914
695,221500,4398,2575,0.41450659390632105
696,221601,3753,2230,0.40580868638422596
697,221602,3594,2144,0.4034501947690595
698,221710,3811,2201,0.422461296247704
699,221810,5041,2752,0.4540765721087086
700,221820,5533,2939,0.46882342309777697
701,221900,5161,2733,0.47045146289478784
702,222001,3646,2139,0.4133296763576522
703,222002,2445,1447,0.4081799591002045
704,222100,4023,2372,0.4103902560278399
705,222200,5013,2924,0.41671653700379013
