,CensusTract,name,category1,price,rating,review_count,city,zipcode,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,County
770,6037267600.0,Aloha Fridays,Food Trucks,$$,5.0,1,Los Angeles,90064.0,30.1,45.1,1.6,0.0,18.6,0.0,72500.0,37148.0,9.3,Los Angeles
771,6037271300.0,Tokyo Kalbi,Japanese,$$$,4.5,104,Los Angeles,90064.0,19.5,51.0,5.2,0.0,18.9,0.0,72660.0,42026.0,7.4,Los Angeles
772,6037264301.0,Acai Nation,Desserts,$,3.5,164,Los Angeles,90049.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
773,6037267200.0,California Chicken Cafe,Chicken Shop,$$,4.0,800,Los Angeles,90025.0,6.6,68.1,0.6,0.0,23.5,0.0,72449.0,54339.0,6.9,Los Angeles
774,6037265520.0,Sunnin Lebanese Cafe,Lebanese,$$,4.0,975,Los Angeles,90024.0,4.1,69.4,2.3,0.0,20.0,0.0,86429.0,66078.0,13.2,Los Angeles
775,6037264302.0,Sushi Sasabune,Sushi Bars,$$$$,4.5,946,Los Angeles,90049.0,6.4,77.5,1.7,0.0,9.8,0.0,95284.0,78322.0,7.0,Los Angeles
776,6037272302.0,Atmosphere Cafe Mar Vista,Sandwiches,$$,4.0,202,Los Angeles,90066.0,52.7,33.1,5.5,0.0,7.6,0.0,48576.0,26364.0,16.1,Los Angeles
777,6037264302.0,Curry House CoCo Ichibanya,Japanese Curry,$$,3.5,308,Los Angeles,90025.0,6.4,77.5,1.7,0.0,9.8,0.0,95284.0,78322.0,7.0,Los Angeles
778,6037271500.0,New York Bagel and Deli,Bagels,$,4.5,205,Los Angeles,90064.0,17.0,61.8,2.3,0.0,13.4,0.0,83194.0,53098.0,9.2,Los Angeles
779,6037267700.0,Nong La Cafe,Vietnamese,$$,3.5,1212,Los Angeles,90025.0,21.3,39.8,1.8,0.0,33.3,0.0,81029.0,56534.0,9.5,Los Angeles
780,6037265202.0,Northern Cafe,Chinese,$,3.5,275,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
781,6037702803.0,The Detour Bistro Bar,French,$$,4.0,215,Los Angeles,90066.0,39.4,42.4,4.7,1.5,7.4,0.0,66424.0,31681.0,15.6,Los Angeles
782,6037271200.0,Shunji Japanese Cuisine,Japanese,$$$$,4.0,281,Los Angeles,90064.0,33.3,30.4,3.0,0.0,30.4,0.0,64297.0,34480.0,15.1,Los Angeles
783,6037264301.0,Barney's Gourmet Hamburgers,American (Traditional),$$,4.0,353,Los Angeles,90049.0,5.3,75.5,1.2,0.0,14.9,0.0,84122.0,68892.0,5.7,Los Angeles
784,6037267800.0,The Backhouse,Sushi Bars,$$,4.0,723,Los Angeles,90064.0,6.8,65.3,2.8,0.0,21.9,0.0,100273.0,48181.0,3.7,Los Angeles
785,6037264302.0,Nagao,Sushi Bars,$$,4.0,274,Los Angeles,90049.0,6.4,77.5,1.7,0.0,9.8,0.0,95284.0,78322.0,7.0,Los Angeles
786,6037267800.0,Rabbi's Daughter,Butcher,$$,4.5,65,Los Angeles,90064.0,6.8,65.3,2.8,0.0,21.9,0.0,100273.0,48181.0,3.7,Los Angeles
787,6037265202.0,The Boiling Crab,Cajun/Creole,$$,3.5,630,Los Angeles,90024.0,3.2,70.1,2.2,0.0,19.8,0.5,66029.0,72794.0,19.3,Los Angeles
